Autores,Nombre_Publicacion,Año_pub_edicion,Año_original,Desfasaje,Confianza,Nota
weber max,escritos políticos,1982,1919.0,63.0,alta,"""La política como vocación"" (Politik als Beruf) de Max Weber fue una conferencia pronunciada el 28 de enero de 1919 y publicada en una versión extendida en julio de 1919 en alemán."
weber max,la ética protestante y el espíritu del capitalismo,1997,1904.0,93.0,alta,"La obra ""La ética protestante y el espíritu del capitalismo"" de Max Weber fue escrita originalmente como una serie de ensayos en alemán entre 1904 y 1905."
weber max,nc,1993,1922.0,71.0,alta,"""Economía y Sociedad"" de Max Weber fue publicada póstumamente en alemán en 1922 por su esposa Marianne Weber."
weber max,sociología de la religión,2012,1920.0,92.0,alta,"El capítulo ""Excurso. Teoría de los estadios y direcciones del rechazo religioso del mundo"" forma parte de la obra ""Gesammelte Aufsätze zur Religionssoziologie"" (Ensayos reunidos de sociología de la r"
tylor edward,antropología. introducción al estudio del hombre y de la civilización,1884,1881.0,3.0,alta,"La obra ""Anthropology: An Introduction to the Study of Man and Civilization"" de Edward Tylor fue publicada originalmente en 1881 por Macmillan and Co. en Londres."
tylor edward,cultura primitiva,1981,1871.0,110.0,alta,"La obra ""Primitive Culture"" de Edward Burnett Tylor fue publicada originalmente en 1871."
durkheim emile,lecciones de sociología. física de las costumbres y el derecho,2003,1950.0,53.0,alta,"La obra ""Leçons de sociologie: physique des mœurs et du droit"" de Émile Durkheim fue publicada póstumamente en francés en 1950."
durkheim emile,nc,2018,1895.0,123.0,alta,"""Las reglas del método sociológico"" de Émile Durkheim se publicó originalmente en francés en 1895. No se encontró información sobre una obra de Durkheim titulada ""Hobbes entre líneas""."
durkheim emile,pragmatismo y sociología,1971,1955.0,16.0,alta,"La obra ""Pragmatismo y Sociología"" de Émile Durkheim corresponde a un curso dictado entre 1913 y 1914, pero fue publicada póstumamente en francés en 1955 a partir de apuntes de estudiantes."
durkheim emile,sociología y ciencias sociales,2016,1900.0,116.0,alta,"El capítulo ""La sociología y su dominio científico"" fue publicado originalmente en la Revista italiana di sociologia en 1900. El ""Debate sobre la economía política y las ciencias sociales"" fue publica"
durkheim emile,sociología y filosofía,2006,1906.0,100.0,alta,"""Determinación del hecho moral"" fue un artículo publicado por Durkheim en 1906, y posteriormente incluido en la compilación ""Sociología y Filosofía""."
durkheim emile,émile durkheim. escritos de juventud (1882-1893),2021,1889.0,132.0,alta,"El capítulo ""Comunidad y sociedad según Tönnies"" es una reseña de Émile Durkheim de la obra de Tönnies, publicada originalmente en la *Revue Philosophique* en 1889."
durkheim emile,de la división del trabajo social,2012,1893.0,119.0,alta,"La obra ""De la división del trabajo social"" de Émile Durkheim fue publicada originalmente en francés en 1893 como su tesis doctoral."
durkheim emile,el estado y otros ensayos,2012,1900.0,112.0,alta,"El artículo ""El papel de las universidades en la educación social del país"" de Émile Durkheim fue publicado originalmente en francés en 1900 como parte del ""Congrès international de l'éducation social"
durkheim emile,el suicidio,2012,1897.0,115.0,alta,"La obra ""El Suicidio"" de Émile Durkheim fue publicada originalmente en francés en 1897 bajo el título ""Le Suicide: Étude de sociologie""."
durkheim emile,las formas elementales de la vida religiosa,1982,1912.0,70.0,alta,"La obra ""Las formas elementales de la vida religiosa"" de Émile Durkheim fue publicada originalmente en francés en 1912."
durkheim emile,las reglas del método sociológico,2001,1895.0,106.0,alta,"La obra ""Las reglas del método sociológico"" de Émile Durkheim fue publicada originalmente en francés en 1895."
stocking george ward,lecturas de antropología para educadores,1993,1983.0,10.0,alta,"El capítulo ""La magia del etnógrafo. El trabajo de campo en la antropología británica de Tylor a Malinowski"" fue publicado originalmente en inglés en 1983 como parte de la compilación ""Observers Obser"
