nombre_autor,genero,pais_nacimiento,region,fecha_nacimiento,fecha_muerte,disciplina,institucion,ciudad_institucion,fuente_principal,confianza,requiere_revision,wikidata_id,openalex_id,notas,pais_institucion
abal medina juan manuel,masculino,Argentina,Argentina,1968,,Ciencia Política,Universidad de Buenos Aires,Buenos Aires,wikidata,alta,False,Q3072494,,,Argentina
abal medina paula,femenino,Argentina,Argentina,1975,,Sociología del Trabajo,Universidad Nacional de San Martín (UNSAM) y CONICET,Singapur,openalex,media,False,,https://openalex.org/A5016026573,"Paula Abal Medina es identificada como mujer en múltiples fuentes. Nació en Argentina en 1975. Es socióloga, magíster en Ciencias Sociales del Trabajo y doctora en Ciencias Sociales. Se especializa en la relación entre capital y trabajo, movimientos obreros y trabajadores jóvenes, lo que la ubica específicamente en la Sociología del Trabajo. Trabaja como investigadora del CONICET y docente en la Universidad Nacional de San Martín (UNSAM), donde también dirige la carrera de Sociología.",Singapur
abramovich ana luz,femenino,Argentina,Argentina,desconocido,,Economía,"Universidad Nacional de General Sarmiento, Universidad de Buenos Aires","Los Polvorines, Buenos Aires",gemini+web,media-alta,False,,https://openalex.org/A5029680873,"El género se infiere del nombre 'Ana Luz' y de la forma en que se refieren a ella en las fuentes ('Es economista', 'investigadora-docente'). Su disciplina principal es Economía, ya que es economista de la Universidad de Buenos Aires y magíster en Economía Social de la Universidad Nacional de General Sarmiento. También es investigadora-docente en el Instituto del Conurbano de la UNGS y docente en la Facultad de Ciencias Económicas de la UBA. Se menciona su participación en publicaciones de la Universidad Nacional de General Sarmiento. No se encontró información sobre su fecha de nacimiento o país de nacimiento, aunque se puede inferir que es de Argentina por las instituciones en las que trabaja y publica.",Argentina
absi pascal,femenino,desconocido,desconocido,desconocido,,Antropología,Institut des Amériques,"París, Marsella",gemini+web,media-alta,True,,https://openalex.org/A5116877856,"El nombre 'Pascale Absi' es consistentemente utilizado en las publicaciones y perfiles académicos, lo que sugiere el género femenino. No se encontró información sobre su fecha o país de nacimiento. Su trabajo se centra en temas como el trabajo, el género, la prostitución y la transidentidad en Bolivia, utilizando un abordaje etnográfico, lo que la ubica claramente en la disciplina de la Antropología. Se menciona su afiliación con CESSMA (Centre d'études en sciences sociales sur les mondes africains, américains et asiatiques) y el IRD (Institut de recherche pour le développement).",Francia
abu-lughod lila,femenino,Estados Unidos,Anglosajón,1952,,Antropología,Columbia University,Nueva York,wikidata,alta,False,Q6547452,,,Estados Unidos
abélés marc,masculino,Francia,Europa,1950,,Antropología,École des Hautes Études en Sciences Sociales (EHESS),París,wikidata,alta,False,Q3287731,,,Francia
acha omar,masculino,Argentina,Argentina,1971,,Historia,Universidad de Buenos Aires,,wikidata,alta,False,Q19364543,,,
acuña carlos,masculino,Argentina,Argentina,1953,2025,Ciencia Política,Universidad Nacional de San Martín,Córdoba,wikidata,alta,False,Q114535540,https://openalex.org/A5102968863,"Se identificaron múltiples personas con el nombre 'Carlos Acuña'. Sin embargo, la información proporcionada en el contexto adicional (título de publicación 'militares en la transición argentina: del gobierno a la subordinación constitucional', editorial 'nueva visión') coincide con la biografía de Carlos Hugo Acuña, un politólogo argentino. Se encontró que Carlos Hugo Acuña nació el 25 de enero de 1953 y falleció el 7 de agosto de 2025. Su género es masculino. Su disciplina principal es la Ciencia Política, habiendo obtenido un Ph.D. en Political Science de la Universidad de Chicago. Trabajó en la Universidad Nacional de San Martín (UNSAM), la Universidad de San Andrés (UdeSA) y la Universidad de Buenos Aires (UBA), además de ser investigador principal del CONICET. Aunque el contexto inicial menciona la Universidad Nacional de Córdoba, las fuentes no confirman que Carlos Hugo Acuña haya sido profesor o investigador en esa institución, aunque sí fue jurado de tesis de doctorado en Estudios Avanzados de la Universidad Nacional de Córdoba.",Argentina
acuña leonor,femenino,Argentina,Argentina,1952,,Lingüística,Universidad de Buenos Aires,Lima,openalex,media,False,,https://openalex.org/A5023297987,"Se encontró información sobre Leonor Acuña, una lingüista argentina nacida en Monte Caseros, Corrientes, el 9 de diciembre de 1952. Es profesora en Letras por la Universidad de Buenos Aires (UBA) y ha trabajado como docente e investigadora en dicha institución, en áreas como dialectología, lenguas en contacto, español como lengua segunda y extranjera (ELSE) y educación intercultural bilingüe. Actualmente, es directora del Instituto Nacional de Antropología y Pensamiento Latinoamericano (INAPL) y académica de número de la Academia Argentina de Letras. No se encontró ninguna conexión con la Universidad Nacional Federico Villarreal de Perú. Las menciones a 'Acuña' en relación con la Universidad Nacional Federico Villarreal corresponden a otros individuos.",Perú
adair jennifer,femenino,Estados Unidos,Anglosajón,1977,,Historia,Fairfield University,Seattle,wikidata,alta,False,Q63955664,https://openalex.org/A5048101320,"Se encontró información sobre varias 'Jennifer Adair'. Se identificaron dos autoras académicas principales: una historiadora y una investigadora en terapia génica. Los datos conocidos previamente (Disciplina: Ciencias Sociales, Institución: Fred Hutchinson Cancer Center, Títulos de publicaciones: capítulo 3 con la democracia se come. el programa alimentario nacional; introducción, Editoriales: fondo de cultura económica) permitieron identificar a la Jennifer Adair relevante para la consulta. La Jennifer Adair asociada al Fondo de Cultura Económica y publicaciones sobre Argentina es historiadora. 

Para la fecha de nacimiento, se encontró que Jennifer Adair, la historiadora, nació en Washington D.C. en 1977. 

Para la disciplina, se especifica que es Doctora en Historia por la New York University y profesora de historia latinoamericana. Sus investigaciones se centran en la historia social y política de Argentina. También se menciona que utiliza herramientas de historia cultural. 

En cuanto a las instituciones, se menciona que es profesora en Fairfield University, en Connecticut. También se encontró información sobre una Jennifer Keys Adair que es Profesora de Currículo e Instrucción en la Universidad de Texas en Austin, con formación en antropología cultural y educación infantil. Además, existe una Jennifer Adair que es Profesora Asociada en la División de Investigación Clínica y el Programa de Terapia Celular y Génica en el Fred Hutchinson Cancer Research Center y Profesora Asociada de Investigación en la Universidad de Washington. Dado que la consulta inicial mencionaba 'Fred Hutchinson Cancer Center' y 'Ciencias Sociales', se incluyeron ambas instituciones, aunque la información detallada de las publicaciones proporcionadas en el contexto adicional (capítulo 3 con la democracia se come. el programa alimentario nacional; introducción, Fondo de Cultura Económica) se alinea con la Jennifer Adair historiadora de Fairfield University. Se decidió incluir ambas instituciones para reflejar la complejidad de la búsqueda y la existencia de múltiples académicas con el mismo nombre, pero priorizando la disciplina de Historia para la autora de las publicaciones mencionadas.",Estados Unidos
adamovsky ezequiel,masculino,Argentina,Argentina,1971,,Historia,Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET),,wikidata,alta,False,Q5423191,,,
addams jane,femenino,Estados Unidos,Anglosajón,1860,1935,"Trabajo Social, Sociología, Filosofía",Hull House,,wikidata,alta,False,Q180989,,,
adorno theodor,masculino,Alemania,Europa,1903,1969,Sociología,Instituto de Investigación Social (Escuela de Frankfurt),Fráncfort del Meno,wikidata,alta,False,Q152388,,,Alemania
aghazarian elise,femenino,desconocido,desconocido,desconocido,,Sociología,Universidad de Belén,,openalex,media,True,,https://openalex.org/A5071817590,"Elise Aghazarian es descrita como una socióloga y escritora palestino-armenia. Creció en Jerusalén y estudió ciencias sociales e idiomas. Actualmente está cursando su doctorado en historia cultural. Su género se infiere por su nombre y por la forma en que se refieren a ella en las fuentes ('socióloga', 'escritora'). No se encontró información específica sobre su fecha o país de nacimiento, aunque se menciona que creció en Jerusalén. No se encontró información sobre su institución principal.",
aguilar idáñez maría josé,femenino,España,Europa,desconocido,,"Trabajo Social, Sociología, Ciencias Políticas",Universidad de Castilla-La Mancha,,openalex,media,False,,https://openalex.org/A5009937593,"María José Aguilar Idáñez es identificada como mujer en múltiples fuentes. Nació en España. No se encontró su fecha de nacimiento, pero se menciona que tiene 36 años de investigación en el área de Trabajo Social y Servicios Sociales a partir de mayo de 2024, y que ha sido catedrática de Trabajo Social y Servicios Sociales de la Universidad de Castilla-La Mancha desde hace más de veinte años. Es Doctora en Ciencias Políticas y Sociología, y su disciplina principal es Trabajo Social y Servicios Sociales. Su institución principal es la Universidad de Castilla-La Mancha.",
aguirre facundo,masculino,Argentina,Argentina,desconocido,,Filosofía,Universidad Nacional de San Martín,San Martín,gemini+web,media-alta,False,,https://openalex.org/A5053649869,"Se busca información sobre el autor académico 'Facundo Aguirre'. Se encontró una publicación titulada 'un pensamiento sensible' asociada a la editorial 'Universidad Nacional de San Martín'. Esta publicación se describe como un 'pensamiento sensible, no intelectual' en contraste con la filosofía, pero el contexto general de la búsqueda y la mención de 'Introducción a la filosofía' como materia asociada en el currículum universitario argentino sugieren una conexión con la filosofía. No se encontró una fecha de nacimiento específica para el Facundo Aguirre académico, ya que las búsquedas arrojaron múltiples personas con el mismo nombre y diferentes fechas de nacimiento y profesiones (esquiador, futbolista, jockey, médico, modelo, jugador de pádel, ilustrador, profesor de guitarra y matemáticas). Sin embargo, el nombre 'Facundo' es consistentemente masculino en Argentina, lo que permite inferir el género. La nacionalidad argentina se infiere de la editorial y el contexto del currículum universitario argentino.",Argentina
aguirre patricia,femenino,Argentina,Argentina,1952,,Antropología de la Alimentación,Universidad Nacional de Lanús,Ibarra,openalex,media,False,,https://openalex.org/A5009050809,"Se encontró información sobre dos académicas llamadas Patricia Aguirre. Una es una compositora y músico nacida en México en 1966. La otra, que coincide con la institución proporcionada (Universidad Técnica del Norte en Ecuador), es Dra. en Ecología del paisaje y Master of Sciences MSc. Agr. en agricultura tropical y subtropical internacional de la Universidad Georg August de Gotinga, Alemania. Esta Patricia Aguirre es profesora titular a tiempo completo del Instituto de Posgrado de la Universidad Técnica del Norte (UTN) y directora de proyectos internacionales en la UTN. Su género es femenino, como se desprende de su nombre y de los pronombres utilizados en las descripciones. No se encontró su año de nacimiento ni su país de nacimiento, solo que trabaja en Ecuador. No se encontró información sobre su fecha de muerte, por lo que se asume que está viva.",Ecuador
alabarces pablo,masculino,Argentina,Argentina,1961,,Sociología,Universidad de Buenos Aires,La Plata,wikidata,alta,False,Q6055727,,,Argentina
albert bruce,masculino,Marruecos,África,1952,,Antropología,"Institut de recherche pour le développement (IRD, París)",,wikidata,alta,False,Q109376839,,,
albornoz martín,masculino,España,Europa,1978,,Historia,Universidad de San Martín,Londres,openalex,media,False,,https://openalex.org/A5054391455,"Se encontró información sobre un autor académico llamado Martín Albornoz que nació en Madrid en 1978. Es Doctor en Historia por la Universidad de Buenos Aires e investigador del CONICET. También es profesor en la Escuela Interdisciplinaria de Altos Estudios Sociales de la Universidad de San Martín. Su trabajo se centra en la historia social y cultural del anarquismo en Buenos Aires. El nombre 'Martín' es consistentemente masculino. Se descartó la información sobre otros 'Martín Albornoz' que son un tiktoker venezolano, un artista chileno, y un futbolista chileno, así como un 'Facundo Albornoz' del Centre for Economic Policy Research, ya que no coinciden con la descripción de autor académico en ciencias sociales o con el país de origen (Reino Unido) o la institución (Centre for Economic Policy Research) proporcionados en los datos conocidos. La información sobre el 'Centre for Economic Policy Research' y 'Reino Unido' no se pudo asociar con el Martín Albornoz académico de historia, sino con Facundo Albornoz. La publicación 'capítulo 5 entre policías y anarquistas: la zona gris' y la editorial 'siglo xxi editores' coinciden con la información encontrada sobre el Martín Albornoz historiador.",Reino Unido
alexander jeffrey c,masculino,Estados Unidos,Anglosajón,1947,,Sociología,Universidad de Yale,New Haven,openalex,media,False,,https://openalex.org/A5058196351,"Jeffrey C. Alexander nació el 30 de mayo de 1947 en Milwaukee, Wisconsin, Estados Unidos. Es un sociólogo y profesor universitario, reconocido por sus contribuciones a la sociología contemporánea, particularmente en la sociología cultural y el neofuncionalismo. Ha sido profesor en la Universidad de California, Los Ángeles (1976-2001) y actualmente es profesor emérito de Sociología en la Universidad de Yale, donde también fundó el Center for Cultural Sociology. Su nombre y las fuentes consultadas indican que es de género masculino.",Estados Unidos
allan poe edgard,masculino,Estados Unidos,Anglosajón,1809,1849,Literatura,"Universidad de Virginia, Academia Militar de los Estados Unidos","Charlottesville, West Point",openalex,media,False,,https://openalex.org/A5058492547,"Edgar Allan Poe nació en Boston, Estados Unidos, en 1809. Falleció en Baltimore, Estados Unidos, en 1849. Su género es masculino. Aunque se le conoce por sus cuentos de terror, poesía y crítica literaria, y se le considera pionero del relato detectivesco y contribuyente a la ciencia ficción, su disciplina principal es la literatura. Asistió a la Universidad de Virginia y a la Academia Militar de West Point. La publicación 'El hombre de la multitud' es un cuento breve escrito por Edgar Allan Poe.",Estados Unidos
almirón adrián alejandro,masculino,Argentina,Argentina,desconocido,,Historia,"Instituto de Investigaciones Geohistóricas (IIGHI-UNNE-CONICET), Universidad Nacional del Nordeste, Universidad Nacional de Rosario, Universidad Nacional de Quilmes","Resistencia, Corrientes, Rosario, Bernal",gemini+web,media-alta,False,,https://openalex.org/A5070760245,"El género se infiere del nombre 'Adrián Alejandro' y de la forma en que se le refiere en todas las fuentes como 'Dr. Adrián Almirón' o 'Adrián Alejandro Almirón'. Su país de nacimiento se infiere de su afiliación a universidades argentinas (UNNE, UNR, UNQ) y su enfoque de investigación en la historia regional de Argentina, específicamente el Chaco. No se encontró información explícita sobre su fecha de nacimiento. La disciplina principal es Historia, ya que posee un Doctorado en Humanidades y Artes con mención en Historia, una Maestría en Ciencias Sociales y Humanidades, y es Licenciado y Profesor en Historia. Además, sus temas de investigación y publicaciones se centran en la historia agraria, política y social del Chaco. También se menciona Geografía y Antropología Social y Cultural como disciplinas científicas relacionadas. Las instituciones principales son el Instituto de Investigaciones Geohistóricas (IIGHI-UNNE-CONICET), la Universidad Nacional del Nordeste (UNNE), la Universidad Nacional de Rosario (UNR) y la Universidad Nacional de Quilmes (UNQ).",Argentina
althabe gérard,masculino,Francia,Europa,1932,2004,Antropología,EHESS (École des hautes études en sciences sociales),París,gemini+web,media-alta,False,,https://openalex.org/A5080334283,"Gérard Althabe nació el 6 de diciembre de 1932 en Gelos, Francia. Falleció en 2004 a los 71 o 72 años. Se le describe como un antropólogo francés. Realizó sus primeros estudios universitarios en Psicología en la Universidad de Burdeos. Fue director de estudios en la École des Hautes Études en Sciences Sociales (EHESS) de París desde 1979. También trabajó en la ORSTOM (Oficina de la Investigación Científica y Técnica de Ultramar).",Francia
althusser louis,masculino,Argelia,África,1918,1990,Filosofía,École Normale Supérieure de París,París,wikidata,alta,False,Q184169,,,Francia
alvarado maite,femenino,Argentina,Argentina,1953,2002,Lingüística,Universidad de Buenos Aires,Leioa,openalex,media,False,,https://openalex.org/A5015849119,"Maite Alvarado nació en Banfield, provincia de Buenos Aires, Argentina, en 1953. Falleció en Buenos Aires el 11 de agosto de 2002. Su nombre completo era María Teresa Alvarado, y se la identifica consistentemente como mujer en todas las fuentes. Se licenció en Letras en la UBA y se desempeñó como investigadora en el Instituto de Lingüística de la misma universidad. También fue docente en la Universidad de Lomas de Zamora y coordinó el Área Curricular de Lengua del Ministerio de Educación de la Nación. Sus publicaciones y trayectoria se centran en la didáctica de la escritura, la lectura y la literatura, lo que la ubica en las disciplinas de Educación y Lingüística. No se encontró información que la vincule con la University of the Basque Country.",España
alvira francisco,masculino,España,Europa,1928,,Sociología,Universidad Complutense de Madrid,Madrid,openalex,media,False,,https://openalex.org/A5104365552,"El género se infiere del nombre 'Francisco' y de la forma en que se refieren a él en todas las fuentes. La fecha de nacimiento (1928) y el país de nacimiento (España) se encuentran explícitamente en EcuRed. No se encontró información sobre su fallecimiento, por lo que se asume que está vivo o no se sabe. La disciplina principal es Sociología, ya que es catedrático de Sociología en la Universidad Complutense de Madrid y su tesis doctoral fue en Sociología. La institución ya se conocía y se confirma en múltiples fuentes.",España
